house_name,house_url,house_price,house_type,house_cancellation,
"Master Bedroom with internal bathroom, VPN, metro",https://www.airbnb.ca/rooms/22519486?location=%E9%A6%99%E6%B8%AF,"Price$45 CAD",Private room 1 bed,Free cancellation,
"Couple tatami room3@Austin,Jordan,TST",https://www.airbnb.ca/rooms/4695498?location=%E9%A6%99%E6%B8%AF,"Price$92 CAD",Hotel room 1 bed,Free cancellation,
uperHost's Private Bedroom on HK Island @TinHau,https://www.airbnb.ca/rooms/850531?location=%E9%A6%99%E6%B8%AF,"Price$51 CAD",Private room 1 bed,Free cancellation,
Studio Flat with a Patio,https://www.airbnb.ca/rooms/1079254?location=%E9%A6%99%E6%B8%AF,"Price$84 CAD",Entire apartment 1 bed,Free cancellation,
Cozy Studio near Mongkok,https://www.airbnb.ca/rooms/3712078?location=%E9%A6%99%E6%B8%AF,"Price$140 CAD",Entire loft 1 bed,Free cancellation,
New & cosy modern 1BR 4pax 1min walk MTR,https://www.airbnb.ca/rooms/19262784?location=%E9%A6%99%E6%B8%AF,"Price$102 CAD",Entire apartment 2 beds,Free cancellation,
#10 Deluxe Room Twin Bed at TST for 2 PAX,https://www.airbnb.ca/rooms/19956246?location=%E9%A6%99%E6%B8%AF,"Price$75 CAD",Private room 2 beds,Free cancellation,
 Modern Apartment  Tsim Sha Tsui,https://www.airbnb.ca/rooms/11235469?location=%E9%A6%99%E6%B8%AF,"Price$75 CAD",Entire apartment 1 bed,Free cancellation,
2BR Main City Apartment above MTR,https://www.airbnb.ca/rooms/20576400?location=%E9%A6%99%E6%B8%AF,"Price$101 CAD",Entire apartment 4 beds,Free cancellation,
New Lovely Entire Home Tsim Sha Tsui 1min TST MTR,https://www.airbnb.ca/rooms/16824293?location=%E9%A6%99%E6%B8%AF,"Price$67 CAD",Entire apartment 2 beds,Free cancellation,
Lovely Colorful Studio Tsim Sha Tsui,https://www.airbnb.ca/rooms/11778475?location=%E9%A6%99%E6%B8%AF,"Price$84 CAD",Entire apartment 1 bed,Free cancellation,
#12 Deluxe Triple Room at TST MTR for 3 PAX,https://www.airbnb.ca/rooms/19994872?location=%E9%A6%99%E6%B8%AF,"Price$92 CAD",Private room 2 beds,Free cancellation,
Double Room @Mong Kok City Centre For 1 to2,https://www.airbnb.ca/rooms/21053208?location=%E9%A6%99%E6%B8%AF,"Price$31 CAD",Private room 1 bed,Free cancellation,
 SIGNATURE STUDIO  Tsim Sha Tsui,https://www.airbnb.ca/rooms/23531374?location=%E9%A6%99%E6%B8%AF,"Price$84 CAD",Entire apartment 1 bed,Free cancellation,
NEAR MTR,https://www.airbnb.ca/rooms/4253961?location=%E9%A6%99%E6%B8%AF,"Price$102 CAD",Entire apartment 2 beds,Free cancellation,